AR,05119,Pulaski County,57977,92038,153924,-34061,0.37665991008549676,0.5979444401133027,-0.22128453002780596
AR,05121,Randolph County,5367,1138,6636,4229,0.8087703435804702,0.17148884870403858,0.6372814948764316
AR,05123,St. Francis County,2909,2953,5979,-44,0.48653621006857334,0.49389530021742767,-0.00735909014885433
AR,05125,Saline County,39736,16609,57609,23127,0.6897533371521811,0.2883056466871496,0.40144769046503154
AR,05127,Scott County,2913,425,3384,2488,0.8608156028368794,0.12559101654846336,0.735224586288416
AR,05129,Searcy County,3305,511,3869,2794,0.8542258981649005,0.1320754716981132,0.7221504264667873
AR,05131,Sebastian County,30719,13652,45452,17067,0.675855847927484,0.3003608202059315,0.37549502772155247
AR,05133,Sevier County,3772,862,4714,2910,0.8001697072549852,0.1828595672464998,0.6173101400084854
AR,05135,Sharp County,5978,1316,7437,4662,0.8038187441172516,0.17695307247546055,0.6268656716417911
AR,05137,Stone County,4808,1089,6030,3719,0.7973466003316749,0.18059701492537314,0.6167495854063018
AR,05139,Union County,10196,5019,15448,5177,0.6600207146556188,0.3248964267219058,0.33512428793371307
AR,05141,Van Buren County,6023,1437,7621,4586,0.790316231465687,0.18855793202991733,0.6017582994357696
AR,05143,Washington County,50243,43779,97158,6464,0.5171267420078635,0.45059593651577845,0.06653080549208501
AR,05145,White County,24514,5641,30837,18873,0.7949541135648733,0.1829295975613711,0.6120245160035023
AR,05147,Woodruff County,1513,760,2318,753,0.6527178602243313,0.32786885245901637,0.32484900776531495
AR,05149,Yell County,5147,1213,6477,3934,0.7946580206885904,0.18727806083063148,0.6073799598579589
CA,06001,Alameda County,140555,499041,669002,-358486,0.21009653184893318,0.7459484426055527,-0.5358519107566195
CA,06003,Alpine County,243,478,737,-235,0.32971506105834464,0.6485753052917232,-0.3188602442333786
CA,06005,Amador County,14012,7780,22393,6232,0.6257312553029964,0.34743000044656813,0.2783012548564283
CA,06007,Butte County,45030,42360,90383,2670,0.498213159554341,0.46867220605644866,0.02954095349789232
CA,06009,Calaveras County,16617,9178,26468,7439,0.6278147196614781,0.3467583497053045,0.28105636995617356
CA,06011,Colusa County,4400,2417,6991,1983,0.6293806322414532,0.34573022457445285,0.2836504076670004
CA,06013,Contra Costa County,153575,353097,524096,-199522,0.2930283764806448,0.6737258059592136,-0.3806974294785688
CA,06015,Del Norte County,5999,4266,10564,1733,0.5678720181749337,0.40382430897387356,0.16404770920106015
CA,06017,El Dorado County,60984,47599,111651,13385,0.5462020044603273,0.42631951348398134,0.11988249097634596
CA,06019,Fresno County,160746,146866,315793,13880,0.5090233159063057,0.4650704733797139,0.04395284252659176
CA,06021,Glenn County,6895,3256,10429,3639,0.6611372135391697,0.31220634768434175,0.3489308658548279
CA,06023,Humboldt County,18151,33442,53949,-15291,0.336447385493707,0.6198817401620048,-0.2834343546682978
CA,06025,Imperial County,22433,23229,46899,-796,0.47832576387556236,0.49529840721550566,-0.016972643339943305
CA,06027,Inyo County,4464,4197,8943,267,0.4991613552499161,0.46930560214693057,0.02985575310298555
CA,06029,Kern County,165956,107167,280205,58789,0.5922663764029906,0.38245927089095483,0.2098071055120358
CA,06031,Kings County,25040,15493,41439,9547,0.6042616858514925,0.37387485219237915,0.2303868336591134
CA,06033,Lake County,7588,8314,16316,-726,0.46506496690365284,0.5095611669526845,-0.04449620004903165
CA,06035,Lassen County,8346,2412,11025,5934,0.7570068027210884,0.21877551020408162,0.5382312925170069
CA,06037,Los Angeles County,1188213,2414417,3723929,-1226204,0.31907509514816207,0.6483520496765647,-0.3292769545284026
CA,06039,Madera County,32308,20940,54543,11368,0.5923399886328218,0.3839172762774325,0.20842271235538928
CA,06041,Marin County,24014,116051,143967,-92037,0.1668021143734328,0.8060944522008516,-0.6392923378274188
CA,06043,Mariposa County,5619,3618,9499,2001,0.5915359511527529,0.38088219812611857,0.21065375302663436
CA,06045,Mendocino County,12464,23020,37017,-10556,0.3367101601966664,0.6218764351514169,-0.2851662749547505
CA,06047,Merced County,42409,38587,83174,3822,0.5098828960973381,0.46393103614110176,0.045951859956236296
CA,06049,Modoc County,2875,1002,4001,1873,0.7185703574106473,0.2504373906523369,0.46813296675831045
CA,06051,Mono County,2285,3512,6045,-1227,0.37799834574028124,0.5809760132340778,-0.20297766749379653
CA,06053,Monterey County,49182,92996,146605,-43814,0.33547286927458136,0.6343303434398554,-0.29885747416527403
CA,06055,Napa County,20256,43013,65238,-22757,0.3104938839326773,0.6593243201814893,-0.34883043624881205
CA,06057,Nevada County,26113,33731,62009,-7618,0.4211162895708687,0.5439694237933204,-0.12285313422245164
CA,06059,Orange County,651473,688393,1383985,-36920,0.47072258731127864,0.4973991770142017,-0.02667658970292308
CA,06061,Placer County,120212,101641,228558,18571,0.5259584000560033,0.4447055014482101,0.08125289860779317
CA,06063,Plumas County,5718,4017,10056,1701,0.5686157517899761,0.3994630071599045,0.16915274463007163
CA,06065,Riverside County,458815,447699,931217,11116,0.4927047079252204,0.48076764062511745,0.011937067300102966
CA,06067,Sacramento County,244676,373136,640211,-128460,0.382180249948845,0.5828328472956572,-0.20065259734681223
CA,06069,San Benito County,11636,15111,27508,-3475,0.4230042169550676,0.5493311036789298,-0.12632688672386216
CA,06071,San Bernardino County,368596,354543,743872,14053,0.4955099802116493,0.4766182891680289,0.01889169104362043
CA,06073,San Diego County,588259,834912,1465972,-246653,0.4012757406007755,0.5695279309563893,-0.16825219035561384
CA,06075,San Francisco County,62558,323626,402830,-261068,0.15529627882729688,0.8033810788670158,-0.6480848000397189
CA,06077,San Joaquin County,122351,121203,251196,1148,0.4870738387553942,0.482503702288253,0.0045701364671411615
